u_node_id,v_node_id,tau_idx,tau,frac,n_samples_used
5,29,80,0.8,0.9210864305496216,7
5,29,81,0.81,0.9311574697494507,7
5,29,82,0.82,0.941228449344635,7
5,29,83,0.83,0.9507479667663574,7
5,29,84,0.84,0.9564701914787292,7
5,29,85,0.85,0.9591907858848572,7
5,29,86,0.86,0.9619113802909851,7
5,29,87,0.87,0.9646320343017578,7
5,29,88,0.88,0.9673526287078857,7
5,29,89,0.89,0.9700732231140137,7
5,29,90,0.9,0.9727938771247864,7
5,29,91,0.91,0.9755144715309143,7
5,29,92,0.92,0.9782350659370422,7
5,29,93,0.93,0.9809557199478149,7
5,29,94,0.94,0.9836763143539429,7
5,29,95,0.95,0.9863969087600708,7
5,29,96,0.96,0.9891175627708435,7
5,29,97,0.97,0.9918381571769714,7
5,29,98,0.98,0.9945587515830994,7
5,29,99,0.99,0.9972794055938721,7
5,29,100,1.0,1.0,7
6,33,0,0.0,0.0,12
6,33,1,0.01,0.0002452433109283447,12
6,33,2,0.02,0.0004905164241790771,12
6,33,3,0.03,0.0007357597351074219,12
6,33,4,0.04,0.0009810328483581543,12
6,33,5,0.05,0.001226276159286499,12
6,33,6,0.06,0.0014715492725372314,12
6,33,7,0.07,0.0017167925834655762,12
6,33,8,0.08,0.0019620656967163086,12
6,33,9,0.09,0.0022073090076446533,12
6,33,10,0.1,0.0024525821208953857,12
6,33,11,0.11,0.0026978254318237305,12
6,33,12,0.12,0.002943098545074463,12
6,33,13,0.13,0.0031883418560028076,12
6,33,14,0.14,0.00343361496925354,12
6,33,15,0.15,0.0036788582801818848,12
6,33,16,0.16,0.003924131393432617,12
6,33,17,0.17,0.006406217813491821,12
6,33,18,0.18,0.013361960649490356,12
6,33,19,0.19,0.02031770348548889,12
6,33,20,0.2,0.025555461645126343,12
6,33,21,0.21,0.029340356588363647,12
6,33,22,0.22,0.03312525153160095,12
6,33,23,0.23,0.03691014647483826,12
6,33,24,0.24,0.040695011615753174,12
6,33,25,0.25,0.04447990655899048,12
6,33,26,0.26,0.04826480150222778,12
6,33,27,0.27,0.05204969644546509,12
6,33,28,0.28,0.05583459138870239,12
6,33,29,0.29,0.06201353669166565,12
6,33,30,0.3,0.07138457894325256,12
6,33,31,0.31,0.08075559139251709,12
6,33,32,0.32,0.090126633644104,12
6,33,33,0.33,0.09949767589569092,12
6,33,34,0.34,0.11147575080394745,12
6,33,35,0.35,0.1247573122382164,12
6,33,36,0.36,0.13803890347480774,12
6,33,37,0.37,0.15132048726081848,12
6,33,38,0.38,0.16460208594799042,12
6,33,39,0.39,0.17788365483283997,12
6,33,40,0.4,0.1911652386188507,12
6,33,41,0.41,0.20444682240486145,12
6,33,42,0.42,0.2177284210920334,12
6,33,43,0.43,0.23097485303878784,12
6,33,44,0.44,0.244010329246521,12
6,33,45,0.45,0.25704580545425415,12
6,33,46,0.46,0.2700812816619873,12
6,33,47,0.47,0.28311678767204285,12
6,33,48,0.48,0.296152263879776,12
6,33,49,0.49,0.30918774008750916,12
6,33,50,0.5,0.3222232460975647,12
6,33,51,0.51,0.3391358554363251,12
6,33,52,0.52,0.3548675775527954,12
6,33,53,0.53,0.37059932947158813,12
6,33,54,0.54,0.3863310217857361,12
6,33,55,0.55,0.4020628035068512,12
6,33,56,0.56,0.41779452562332153,12
6,33,57,0.57,0.43352627754211426,12
6,33,58,0.58,0.449258029460907,12
6,33,59,0.59,0.46498972177505493,12
6,33,60,0.6,0.48072147369384766,12
6,33,61,0.61,0.4953688979148865,12
6,33,62,0.62,0.5100690722465515,12
6,33,63,0.63,0.5259566307067871,12
6,33,64,0.64,0.5418441295623779,12
6,33,65,0.65,0.5577316284179688,12
6,33,66,0.66,0.5736192464828491,12
6,33,67,0.67,0.5895067453384399,12
6,33,68,0.68,0.6053943037986755,12
6,33,69,0.69,0.6212818026542664,12
6,33,70,0.7,0.637169361114502,12
6,33,71,0.71,0.6530569195747375,12
6,33,72,0.72,0.6687563061714172,12
6,33,73,0.73,0.6843146085739136,12
6,33,74,0.74,0.6998728513717651,12
6,33,75,0.75,0.7154312133789062,12
6,33,76,0.76,0.7309894561767578,12
6,33,77,0.77,0.7465477585792542,12
6,33,78,0.78,0.7621060609817505,12
6,33,79,0.79,0.7776643633842468,12
6,33,80,0.8,0.7932226657867432,12
6,33,81,0.81,0.8047641515731812,12
6,33,82,0.82,0.8163056373596191,12
6,33,83,0.83,0.8278471827507019,12
6,33,84,0.84,0.8393886089324951,12
6,33,85,0.85,0.8521434664726257,12
6,33,86,0.86,0.8651338815689087,12
6,33,87,0.87,0.8781242370605469,12
6,33,88,0.88,0.8892346620559692,12
6,33,89,0.89,0.898465096950531,12
6,33,90,0.9,0.9076955318450928,12
6,33,91,0.91,0.9169259667396545,12
6,33,92,0.92,0.9261564016342163,12
6,33,93,0.93,0.9353868961334229,12
6,33,94,0.94,0.9446173310279846,12
6,33,95,0.95,0.9538477659225464,12
6,33,96,0.96,0.9630782604217529,12
6,33,97,0.97,0.9723086357116699,12
6,33,98,0.98,0.9815391302108765,12
6,33,99,0.99,0.9907695055007935,12
6,33,100,1.0,1.0,12
7,1,0,0.0,0.0,7
7,1,1,0.01,0.01880788803100586,7
7,1,2,0.02,0.03761577606201172,7
7,1,3,0.03,0.05642366409301758,7
7,1,4,0.04,0.07523155212402344,7
7,1,5,0.05,0.0940394401550293,7
7,1,6,0.06,0.11284732818603516,7
7,1,7,0.07,0.13165521621704102,7
7,1,8,0.08,0.15046310424804688,7
7,1,9,0.09,0.16927099227905273,7
7,1,10,0.1,0.1880788803100586,7
7,1,11,0.11,0.20688676834106445,7
7,1,12,0.12,0.2256946563720703,7
7,1,13,0.13,0.2409796118736267,7
7,1,14,0.14,0.25274157524108887,7
7,1,15,0.15,0.2645035982131958,7
7,1,16,0.16,0.27626556158065796,7
7,1,17,0.17,0.2880275845527649,7
7,1,18,0.18,0.29978954792022705,7
7,1,19,0.19,0.311551570892334,7
7,1,20,0.2,0.32331353425979614,7
7,1,21,0.21,0.3350754976272583,7
7,1,22,0.22,0.34683752059936523,7
7,1,23,0.23,0.3585994839668274,7
7,1,24,0.24,0.3703615069389343,7
7,1,25,0.25,0.3821234703063965,7
7,1,26,0.26,0.39496541023254395,7
7,1,27,0.27,0.4078074097633362,7
7,1,28,0.28,0.42064934968948364,7
7,1,29,0.29,0.4334912896156311,7
7,1,30,0.3,0.44633322954177856,7
7,1,31,0.31,0.4591752290725708,7
7,1,32,0.32,0.47201716899871826,7
7,1,33,0.33,0.4848591089248657,7
7,1,34,0.34,0.4977010488510132,7
7,1,35,0.35,0.5105429887771606,7
7,1,36,0.36,0.5233849883079529,7
7,1,37,0.37,0.5362269282341003,7
7,1,38,0.38,0.5488690137863159,7
7,1,39,0.39,0.5613111853599548,7
7,1,40,0.4,0.5737533569335938,7
7,1,41,0.41,0.5861955881118774,7
7,1,42,0.42,0.5986377000808716,7
7,1,43,0.43,0.6110799312591553,7
7,1,44,0.44,0.6235221028327942,7
7,1,45,0.45,0.6359642744064331,7
7,1,46,0.46,0.648406445980072,7
7,1,47,0.47,0.6608486175537109,7
7,1,48,0.48,0.6732908487319946,7
7,1,49,0.49,0.6857329607009888,7
7,1,50,0.5,0.6981751918792725,7
7,1,51,0.51,0.7098318338394165,7
7,1,52,0.52,0.7214884757995605,7
7,1,53,0.53,0.7331451177597046,7
7,1,54,0.54,0.7448017597198486,7
7,1,55,0.55,0.7564584016799927,7
7,1,56,0.56,0.7681150436401367,7
